Designator,Quantity,Description,Manufacturer Part Number,LCSC Part,Footprint,Assembly status
U6,1,9-36V to 5V 20A isolated converter,Mornsun URF2405QB-100WR3,TBD,1/4-brick DIP,Customer supplied / hand install
J1,1,5.5mm DC barrel input,Exact jack to be selected,TBD,Through-hole,Verify mechanical fit
F1,1,15A provisional battery fuse,Automotive or cartridge fuse,TBD,Through-hole,Hand install; size after converter test
D1,1,Input TVS selected for battery pack,SMBJ33A provisional,TBD,SMB,Verify standoff voltage
C1,1,220uF 50V input bulk,Aluminum electrolytic,TBD,Radial,Hand install
C2,1,470uF 35V motor bulk,Aluminum electrolytic,TBD,Radial,Hand install
C3,1,1000uF 10V servo bulk,Low ESR aluminum electrolytic,TBD,Radial,Hand install
C4,1,100nF local bypass,Multilayer ceramic,TBD,Radial placeholder,Replace with verified SMD footprint
R1-R4,4,10k encoder pull-up to 3.3V,0805 1 percent,TBD,0805,SMT candidate
R5-R6,2,4.7k I2C pull-up to ESP32 3.3V,0805 1 percent,TBD,0805,SMT candidate
J10-J13,4,Five-pin motor connector,5.08mm terminal block or locking connector,TBD,Through-hole,Verify cable current rating
J20-J25,6,Three-pin servo connector,2.54mm header or locking connector,TBD,Through-hole,Verify servo current rating
JPI1,1,Raspberry Pi 4B 40-pin socket,2x20 2.54mm header,TBD,Through-hole,Hand install
JESP1,1,ESP32-WROOM-32 DevKit socket,2x15 2.54mm header,TBD,Through-hole,Hand install
